Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019/05/20,112.35817264911783,112.35817264911783,110.78611627922778,111.2142562866211,5232022,0.0,0.0
2019/05/21,111.72266432821907,111.99693274440253,111.16742521861167,111.91666412353516,4961247,0.0,0.0
2019/05/22,112.00362358184522,114.2312578964866,111.35473570874856,113.54891967773438,5387023,0.0,0.0
2019/05/23,113.06315841046339,113.54894020757389,111.04586004683523,111.90945434570312,4580919,1.204013,0.0
2019/05/24,112.22651648684244,112.95517663050511,111.53835251101529,112.05784606933594,2830812,0.0,0.0
2019/05/28,112.53689033279531,112.66507690639108,110.209228515625,110.209228515625,5830620,0.0,0.0
2019/05/29,109.97982804366677,110.51282849978502,108.28637666494258,108.89358520507812,4388124,0.0,0.0
2019/05/30,108.8935926565482,109.48057162310518,107.94904323779014,108.34036254882812,2964525,0.0,0.0
2019/05/31,107.8343587267105,108.44831465996508,107.69941253249283,107.78038024902344,4212192,0.0,0.0
2019/06/03,107.78039925644904,108.96109247581008,107.49028951293717,107.97605895996094,4456894,0.0,0.0
2019/06/04,109.11625654599978,111.38318038762861,109.01504689340307,110.84344482421875,4481173,0.0,0.0
2019/06/05,111.41688047105514,111.88240778280056,109.89209968449,110.54653930664062,3781274,0.0,0.0
2019/06/06,110.64778316531205,112.23327790157404,109.60877129287124,111.13355255126953,4283833,0.0,0.0
2019/06/07,111.70030818446375,112.73256060545171,111.07959249450268,112.4087142944336,2413169,0.0,0.0
2019/06/10,113.42072370621452,114.84430769450779,113.25880056981904,113.54217529296875,2700090,0.0,0.0
2019/06/11,114.6351538970271,114.93875824004712,113.68385700553493,113.9604721069336,2663731,0.0,0.0
2019/06/12,114.60816592300405,114.79707830383288,113.74457174461955,114.02794647216797,2591014,0.0,0.0
2019/06/13,114.26407875193493,114.62840889594291,113.2588033569476,113.91999053955078,2561234,0.0,0.0
2019/06/14,113.50842081046872,113.5151681197781,112.03087088518838,112.46266174316406,3252163,0.0,0.0
2019/06/17,112.73930393646562,112.96195288465952,112.307512974556,112.5234146118164,2132827,0.0,0.0
2019/06/18,113.24530081053923,116.22740254670681,113.05640075382438,115.95077514648438,4333108,0.0,0.0
2019/06/19,115.96426585775066,116.59171642258633,115.06020021462618,115.2018814086914,3321770,0.0,0.0
2019/06/20,116.63218266540412,117.5834916463427,115.84280909620601,117.35409545898438,3664783,0.0,0.0
2019/06/21,117.2259271403832,117.77240998959233,116.47027768513667,116.95604705810547,5837437,0.0,0.0
2019/06/24,116.95601540008137,117.62394964619108,116.94926809203558,116.97625732421875,3243432,0.0,0.0
2019/06/25,116.88859338470732,116.98304341605582,115.55947175988541,116.06548309326172,3268907,0.0,0.0
2019/06/26,116.28139344907173,116.88186723511839,115.85634976213707,115.96429443359375,2167391,0.0,0.0
2019/06/27,116.38933776770439,116.5782501566554,115.134424152748,115.7079086303711,2055326,0.0,0.0
2019/06/28,115.94403491671127,117.64423403184716,115.89006874547277,116.94931030273438,4306557,0.0,0.0
2019/07/01,118.37963079454076,118.59553239757533,117.0707511818241,117.73868560791016,2519613,0.0,0.0
2019/07/02,118.13673656544567,118.13673656544567,116.76713120321642,117.40808868408203,1860258,0.0,0.0
2019/07/03,117.50928337024554,118.09625004792035,116.67267855299495,118.05577850341797,1400157,0.0,0.0
2019/07/05,116.71991642032341,116.90882878507787,114.51370614503189,116.04523468017578,2081638,0.0,0.0
2019/07/08,114.64190792493513,115.01973270455278,113.86602874590864,114.1493911743164,2733219,0.0,0.0
2019/07/09,112.55036824521584,112.97542412081737,110.84343437109887,111.79473114013672,5425176,0.0,0.0
2019/07/10,112.12532468222295,112.88772140944752,111.70702842876688,111.79473114013672,3183393,0.0,0.0
2019/07/11,112.1995596416653,114.08191149530948,111.90943760655661,114.04818725585938,3366501,0.0,0.0
2019/07/12,114.76334177078971,116.9628049236966,114.18986963033687,116.94931030273438,3780197,0.0,0.0
2019/07/15,116.97632209331262,117.56330128048563,115.51226625019005,116.61199188232422,2616250,0.0,0.0
2019/07/16,116.55124524376534,119.58731305511368,116.53100331417657,119.07455444335938,4687004,0.0,0.0
2019/07/17,118.98010351795617,119.07456586509798,117.46206946667081,117.84664154052734,3525090,0.0,0.0
2019/07/18,117.67796384518394,118.16373323417413,116.31510570692963,116.76039123535156,2657273,0.0,0.0
2019/07/19,116.72667484809946,117.38786203141153,116.18692694205009,116.45679473876953,2822919,0.0,0.0
2019/07/22,116.59168381303851,118.2109269086628,116.13290380995089,117.82635498046875,2397262,0.0,0.0
